,ingredient,chemComp
67,chopsuey,
68,quail,thiamine|CID 644104|betaine
69,biryani,
70,kachori,
71,palak,"1-Popc|coumarin|Methyl Benzoate|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|methanethiol|daidzein|2-Undecenal|Pyridine|benzaldehyde|Coumestrol|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|6,10,14-Trimethylpentadecan-2-one|phloretin|2E,4Z-Decadienal|Hexanal|Linamarin|2-Methyl-1-Butanol|1-octanol|Heptanoic Acid|salicylic acid|Farnesyl acetone|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|4a(2H)-Naphthol, octahydro-4,8a-dimethyl-|Beta-Ionone|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|trans-2-Hexenal|Safranal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|1-Octen-3-Ol|2-Phenylethanol|(+)-Neomenthol|succinic acid|NSC5112|Nonanal|Dihydro-beta-ionone|2,5-dimethylthiophene-3-carbaldehyde|apigenin|Geranylacetone|cis-2-Penten-1-ol|phenylacetaldehyde|trans-2-Hexen-1-Ol|thiamine|3-Methyl-1-butanol|3-Phenylpropanoic acid|Propionaldehyde|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Dl-Phenylalanine|calcium lactate|2,3-butanedione|2-Methoxy-4-vinylphenol|isoliquiritigenin|Cinnamic Acid|Farnesal|(E)-Hept-2-enal|3,4-Dihydroxybenzaldehyde|Ethanamine|1-Penten-3-Ol|Bovolide|3-Methylbutanal|farnesol|Daidzin|(2E,4E)-deca-2,4-dienal|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|Violet leaf aldehyde|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|1-Hexanol|CID 644104|Taxifolin|D-mannitol|2-Pentanone|indole-3-acetic acid|Dl-Methionine|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Amylamine|Allyl Alcohol|beta-Cyclocitral|Pyrrolidine|(Z)-Hex-3-en-1-ol|Thiophene-2-carbaldehyde|naringenin|Isoamylamine|Isobutyraldehyde|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|Octadienal|Acetophenone|hydrogen cyanide|Benzyl Benzoate|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|Diethylamine|3-Methyl-2-butenal|3-Pentanone|trans-2-Decenal|trans-2-Octenal|Phytol|Heptanal|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|p-coumaric acid"
72,pancake,thiamine|CID 644104|betaine|Heptanoic Acid
73,sausage,L-aspartic acid|L-phenylalanine|L-histidine|Dl-Phenylalanine
74,mango,"Isoamyl butyrate|cis-3-Hexenyl hexanoate|coumarin|Daidzin|2-Methylbutyl Acetate|cis-3-Hexenyl crotonate|Delta-Decalactone|2-Methylbutyraldehyde|Thymol|3-methylthiopropanol|Methyl Benzoate|Citral|Ethyl Octanoate|2-Methyl-1-propanol|Vanillic acid|Violet leaf aldehyde|cis-3-Hexenyl pentanoate|3-Hexanone|palmitic acid|Ethyl 3-hydroxybutyrate|Geraniol|Isobutyric Acid|Hexyl Butyrate|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|Isopentyl formate|3,4-Dihydroxybenzoic Acid|nicotine|4-Methylpentanoic Acid|(-)-Epigallocatechin|Ethyl 2-methylbutyrate|kaempferol|methanethiol|1-Hexanol|daidzein|eugenol|1-Heptanol|Pyridine|benzaldehyde|Dipentene|benzyl alcohol|Beta-Terpineol|alpha-L-Sorbopyranose|3-Heptanone|4077-47-8|2-Acetylpyrrole|DL-Liquiritigenin|Ethyl Isovalerate|CID 644104|Taxifolin|Methyl propenyl ketone|alpha-TERPINEOL|2-Pentanone|D-mannitol|indole-3-acetic acid|16491-36-4|Ethyl caproate|Delta-Nonalactone|Ethyl 3-hydroxyhexanoate|phloretin|Linalyl Acetate|1-Pyrroline|gamma-Decalactone|Menthone|Ethyl Butyrate|Tetrahydrofurfuryl Alcohol|2-Hexenyl propanoate|Isophorone|6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol|Hexanal|Damascenone|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|gamma-Caprolactone|cis-3-Hexenyl acetate|Heptanoic Acid|guaiacol|3-Hexanol|salicylic acid|Tetradecanoic acid|trans-2-Hexenyl acetate|vanillin|Dimethyl disulfide|Alpha-Phellandrene|(Z)-cinnamyl alcohol|Beta-Pinene|2,3-Pentanedione|cinnamyl alcohol|phenol|Ethyl Vinyl Ketone|Allyl Alcohol|Cianidanol|Ethyl Crotonate|hydrogen peroxide|2,6-Nonadienal|beta-Cyclocitral|Alpha-Terpinene|Carveol|Beta-Ionone|dimethyl sulfide|Isobutyl Acetate|Ethyl cis-4-octenoate|cis-3-Hexenyl propionate|Isoeugenol|betaine|l-Menthol|Phenethyl acetate|Isopentyl octanoate|P-Cresol|4'-Hydroxyacetophenone|Phenylacetic Acid|gamma-Eudesmol|Isobutyraldehyde|naringenin|Ethyl dodecanoate|2-Methylpentanoic acid|cis-3-Hexenal|cinnamaldehyde|4'-Methylacetophenone|Ethyl tetradecanoate|trans-2-Hexenal|Phenethyl butyrate|(-)-Epicatechin|2-Pentanol|1-Dodecanol|Sinapic Acid|stearic acid|6-Methyl-5-Hepten-2-One|Tiglic Acid|Cyclopentanone|Undecanoic Acid|2-Isopropyl-5-methylcyclohexanone|4-Vinylphenol|(-)-Epigallocatechin gallate|Methyl butyrate|(-)-Epicatechin gallate|2-Heptanone|quercetin|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Thiamine Hydrochloride|Nonanal|apigenin|2-(4-methylphenyl)propan-2-ol|Verbenol|Geranylacetone|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|Campholenic aldehyde|Butyl acetate|Geranyl butyrate|lauric acid|octanoic acid|trans-3-Hexen-1-ol|5-Methylfurfural|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Ethyl Acetate|3-Methyl-2-Buten-1-Ol|Ethyl Isobutyrate|Propionaldehyde|4-Hexen-3-One|5-Methylhexanoic Acid|Silica|Neral|Hexyl acetate|3658-77-3|Gallocatechin|Benzothiazole|Decanoic acid|2-Furaldehyde|Benzyl Acetate|3-Methyl-2-butenal|trans,trans-2,4-Heptadienal|3-Pentanone|14400-67-0|2-Tridecanone|cis-3-Hexenyl formate|2-(4-Hydroxyphenyl)ethanol|lactic acid|2-Pentylfuran|Acrolein|(+)-delta-Cadinene|trans-2-Pentenal|2-methylpropyl but-2-enoate|indole|Methyl Hexanoate|Tributyrin|Myrcene|Heptanal|Alpha-Pinene|calcium lactate|acetone|Isobutyl butyrate|Isoamyl Acetate|2-Butanone|2,3-butanedione|Dodecanal|2-Methoxy-4-vinylphenol|trans-2-Nonenal|D-Lactic acid|isoliquiritigenin|2-Methoxy-4-Methylphenol|4-hydroxybenzaldehyde|Vanillylacetone|Cinnamic Acid|Farnesal|luteolin|2-Methylpentanal|Valencene|delta-Octanolactone|2-Methyl-2-Pentenal|gamma-Nonanolactone|2-Methylbutanoic acid|3-Methyl-1-Pentanol|(E)-Hept-2-enal|Neryl acetate|3,4-Dihydroxybenzaldehyde|Neryl butyrate|p-coumaric acid|1-Penten-3-Ol|Ethyl Palmitate|delta-Hexalactone|Linalool|Nonanoic Acid|nerol|3-Methylbutanal|farnesol"
75,kewra,
76,nutmeg,"coumarin|Thymol|Methyl Benzoate|d-Piperitone|AC1L9CNW|3-Hexanone|Geraniol|alpha-Maltose|103-95-7|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Terpinolene|methanethiol|daidzein|eugenol|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|alpha-TERPINEOL|3-Carene|Citronellol|phloretin|Sabinene|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|Menthyl isovalerate|Heptanoic Acid|salicylic acid|Tetradecanoic acid|4-Allyl-2,6-dimethoxyphenol|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Isoeugenol|(+)-alpha-Terpineol|betaine|Eucalyptol|Piperitol|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|4'-Methylacetophenone|(-)-Epicatechin|Pentanal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Phenylethanol|Terpinen-4-ol|(+)-Neomenthol|succinic acid|NSC5112|3-Thujene|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|Campholenic aldehyde|carnosol|octanoic acid|D-Camphor|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Sabinene hydrate|Propionaldehyde|Myrtenal|safrole|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|2,3-butanedione|Myristicin|isoliquiritigenin|Cinnamic Acid|Farnesal|Bornyl Acetate|Acetyleugenol|Neryl acetate|3,4-Dihydroxybenzaldehyde|trans-.alpha.-bergaptene|.alpha.-Cubebene|nerol|3-Methylbutanal|farnesol|Elemicin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|6753-98-6|Citral|Methyleugenol|CHEBI:49249|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|butyric acid|nicotine|Camphene|alpha-Farnesene|kaempferol|Dipentene|Beta-Terpineol|(+)-Linalool|Borneol|CID 644104|Taxifolin|D-mannitol|Gamma-Terpinene|indole-3-acetic acid|Linalyl Acetate|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Alpha-Phellandrene|Allyl Alcohol|Cianidanol|Beta-Phellandrene|Alpha-Terpinene|naringenin|Isobutyraldehyde|Estragole|Alpha-Terpinyl Acetate|P-Cymene|6-Methyl-5-Hepten-2-One|cis-Methylisoeugenol|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|Citronellyl acetate|2-(4-methylphenyl)propan-2-ol|hydrogen cyanide|Benzyl Benzoate|trans-3-Hexen-1-ol|trans-Anethole|Ethyl Acetate|4-Hexen-3-One|Neral|2-Furaldehyde|3-Methyl-2-butenal|3-Pentanone|STK020088|D-Limonene|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|Fenchol|gingerol|luteolin|4-isopropylbenzaldehyde|4-isopropylbenzyl alcohol|p-coumaric acid|Linalool|Carvacrol"
77,bottlegourd,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|palmitic acid|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|p-benzoquinone|3,4-Dihydroxybenzoic Acid|nicotine|glycerol|kaempferol|methanethiol|Calcium Oxide|daidzein|2-Undecenal|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|9,12-Octadecadienal|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|hydroquinone|Menthone|Ethyl Stearate|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|salicylic acid|Methyl Palmitate|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|hydrogen peroxide|Isoeugenol|betaine|Decanal|Phenethyl acetate|1-Tetradecanol|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|2-Pentadecyn-1-ol|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|1-Hexadecanol|2-Isopropyl-5-methylcyclohexanone|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Nonanal|2-Ethylhexan-1-ol|acetoin|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|MLS002702988|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|Guaiene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|Dodecanal|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|Butyl laurate|Cyclohexylmethanol|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
78,havarti,
79,coconut,"Isoamyl butyrate|Octan-2-ol|coumarin|Methyl Benzoate|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|L-Rhamnose|methanethiol|Calcium Oxide|daidzein|Pyridine|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|2-Acetylpyrrole|Heptadecane|phloretin|Hexanal|Linamarin|2-Methyl-1-Butanol|1-octanol|2,3,5,6-Tetramethylpyrazine|Heptanoic Acid|salicylic acid|Tetradecanoic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|2,3,5-Trimethylpyrazine|Ethyl Vinyl Ketone|hydrogen peroxide|2-Ethylpyrazine|Methyl octanoate|Hexanoic Acid|Isoeugenol|(+)-alpha-Terpineol|betaine|Phenethyl acetate|Phenylacetic Acid|Methyl tetradecanoate|cis-3-Hexenal|cinnamaldehyde|Ethyl tetradecanoate|2-Pentanol|Pentanal|Sinapic Acid|Cyclopentanone|Undecanoic Acid|2-Isopropyl-5-methylcyclohexanone|2-Heptanone|2-Phenylethanol|(+)-Neomenthol|Eicosane|succinic acid|2,3-Dimethylpyrazine|NSC5112|Nonanal|acetoin|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|lauric acid|octanoic acid|5-Methylfurfural|thiamine|2-Pentadecanone|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|2-Undecanol|Delta-Dodecalactone|2-Tridecanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|2,3-butanedione|isoliquiritigenin|Cinnamic Acid|Farnesal|delta-Tetradecalactone|delta-Octanolactone|3,4-Dihydroxybenzaldehyde|Methyl Linoleate|propionic acid|3-Methylbutanal|farnesol|Daidzin|Delta-Decalactone|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|Ethyl Octanoate|palmitic acid|2-Ethyl-5-Methylpyrazine|Nonadecane|2-Nonanone|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|1-Hexanol|Dipentene|hydrogen sulfide|CID 644104|Taxifolin|2-Heptanol|D-mannitol|indole-3-acetic acid|1-Pyrroline|Menthone|Geranyl Acetate|delta-Undecalactone|cis-3-Hexenyl acetate|Furfuryl Alcohol|Methyl Dodecanoate|Allyl Alcohol|Syringaldehyde|l-Menthol|Decanal|naringenin|Isobutyraldehyde|Ethyl dodecanoate|stearic acid|6-Methyl-5-Hepten-2-One|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|hydrogen cyanide|Benzyl Benzoate|5-Hydroxyoctan-4-one|Tricosane|2-Nonanol|Heneicosane|trans-3-Hexen-1-ol|oleic acid|Ethyl Acetate|4-Hexen-3-One|Neral|Benzothiazole|2-Undecanone|3-Methyl-2-butenal|3-Pentanone|Heptanal|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|gamma-Nonanolactone|p-coumaric acid|Octadecane|delta-Hexalactone|Nonanoic Acid"
80,chicken,"(2E,4E)-Undeca-2,4-dienal|Octan-2-ol|(2E,4E)-deca-2,4-dienal|Styrene|Furfuryl mercaptan|trans-2-Hexenyl butyrate|Violet leaf aldehyde|palmitic acid|2-Acetyl-2-thiazoline|2-Ethylfuran|taurine|Gamma-undecalactone|Pyrazine|4-Heptanone|Isopropenylpyrazine|Isopentyl formate|Pyrrole|L-phenylalanine|Tiglic aldehyde|methanethiol|Ethyl methyl sulfide|2-Undecenal|23726-92-3|hydrogen sulfide|trans,trans-2,4-Nonadienal|Isovaleric Acid|3-Heptanone|2-Acetylpyrrole|CID 644104|1-Nonanol|2-Heptanol|alpha-TERPINEOL|2-Pentanone|3-Octen-2-One|13679-70-4|Delta-Nonalactone|2-Heptylfuran|2,6-Dimethylpyrazine|Ethyl Butyrate|Mesityl Oxide|1-Propanethiol|Piperonal|gamma-Caprolactone|trans-2-Nonen-1-ol|Heptanoic Acid|3-Hexanol|Tetradecanoic acid|2,3-Hexanedione|2-Methyl-5-Vinylpyrazine|Beta-Pinene|2,3-Pentanedione|phenol|Ethyl Vinyl Ketone|1-Furfurylpyrrole|4-Ethylbenzaldehyde|L-histidine|Disodium 5'-inosinate|2-Pentylpyridine|Undecanal|2-Ethyl-3-Methylpyrazine|dimethyl sulfide|betaine|Decanal|2,3-Diethyl-5-Methylpyrazine|Salicylaldehyde|Butylamine|2-Pentanol|1-Dodecanol|Cyclopentanone|4-Methyl-2-pentanone|Undecanoic Acid|Diethyl sulfide|2-Methyl-3-furanthiol|Tetradecanal|2,4,5-Trimethyl-3-Oxazoline|3-(Methylthio)propionaldehyde|1-Hexanethiol|2-Phenylethanol|2,6-Dimethylpyridine|Thiamine Hydrochloride|2-Ethylhexan-1-ol|2-Acetylthiazole|Dimethyl trisulfide|L-aspartic acid|9-Octadecenal, (9E)-|3-oxobutan-2-yl acetate|Thiazole|lauric acid|thiamine|2-Pentadecanone|trans-2-Octen-1-Ol|2,4,7-Tridecatrienal, (E,Z,Z)-|Propionaldehyde|4-Hexen-3-One|3,5-Diethyl-2-Methylpyrazine|4-Methyl-2-Pentenal|butyraldehyde|2-Methyl-3-Heptanone|2-Undecanone|trans,trans-2,4-Heptadienal|gamma-Butyrolactone|2-Tridecanone|5-Ethyl-2-methylpyridine|trans-2-Decenal|Ethyl Lactate|2-Butylfuran|2,5-Dimethylfuran|indole|2,4-Hexadienal|104-50-7|5550-12-9|Alpha-Pinene|Dl-Phenylalanine|2-Methylfuran|2,3-butanedione|Dodecanal|delta-Tetradecalactone|delta-Octanolactone|2-Methyl-2-Pentenal|gamma-Nonanolactone|2-Methylbutanoic acid|2-trans-6-cis-Dodecadienal|3,5-Dimethyl-1,2,4-Trithiolane|1,2-Ethanedithiol|1-Penten-3-Ol|3-Ethylpyridine|Octane-2,3-dione|delta-Hexalactone|2,4,5-Trimethylthiazole|propionic acid|5-Ethyl-2-methylthiazole"
81,seaweed,
82,cranberry,"Octan-2-ol|coumarin|Thymol|Methyl Benzoate|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|(-)-Epigallocatechin|methanethiol|daidzein|2-Undecenal|benzaldehyde|benzyl alcohol|trans,trans-2,4-Nonadienal|Methyl 2-furoate|alpha-L-Sorbopyranose|DL-Liquiritigenin|Methyl propenyl ketone|alpha-TERPINEOL|phloretin|Methyl cinnamate|resveratrol|Hexanal|Linamarin|2-Methyl-1-Butanol|3-Hexanol|Heptanoic Acid|salicylic acid|Tetradecanoic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Undecanal|Isoeugenol|(+)-alpha-Terpineol|4'-Methoxyacetophenone|betaine|Eucalyptol|Phenethyl acetate|4'-Hydroxyacetophenone|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|2-Pentanol|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|Methyl butyrate|(-)-Epicatechin gallate|2-Phenylethanol|(+)-Neomenthol|succinic acid|NSC5112|apigenin|phenylacetaldehyde|2-Hexylthiophene|trans-2-Hexen-1-Ol|lauric acid|octanoic acid|5-Methylfurfural|Methyl Heptanoate|thiamine|2-Pentadecanone|trans-2-Octen-1-Ol|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|morin|2-Tridecanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|2-Butylfuran|indole|Tributyrin|calcium lactate|Myrtenol|2,3-butanedione|isoliquiritigenin|Vanillylacetone|Cinnamic Acid|Farnesal|delta-Octanolactone|Valeric acid|2-Methylbutanoic acid|(E)-Hept-2-enal|3,4-Dihydroxybenzaldehyde|Benzyl Salicylate|Methyl Linoleate|nerol|3-Phenylpropan-1-ol|3-Methylbutanal|farnesol|Daidzin|Styrene|2-Methylbutyraldehyde|3-methylthiopropanol|trans-2-Hexenyl butyrate|Citral|palmitic acid|Isobutyric Acid|3-Octanol|Hexyl Butyrate|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|butyric acid|nicotine|kaempferol|1-Phenylethanol|Octan-2-one|1-Heptanol|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|Isoquercitrin|1-Pyrroline|2,4-dihydroxybenzoic acid|Menthone|Ethyl Butyrate|1-Pentanol|cis-Cinnamic acid|Isophorone|6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol|Geranyl Acetate|cis-3-Hexenyl acetate|Benzyl formate|phenol|Allyl Alcohol|Cianidanol|Alpha-Terpinene|l-Menthol|naringenin|Isobutyraldehyde|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|1-Undecanol|2-(4-methylphenyl)propan-2-ol|hydrogen cyanide|Benzyl Benzoate|Ethyl Benzoate|1-Decanol|trans-3-Hexen-1-ol|4-Methoxybenzaldehyde|oleic acid|Ethyl Acetate|Isopropyl butyrate|4-Hexen-3-One|Neral|Gallocatechin|3-Methyl-2-butenal|trans,trans-2,4-Heptadienal|3-Pentanone|4-(4-Hydroxyphenyl)-2-butanone|1-propanol|trans-2-Decenal|trans-2-Octenal|Heptanal|Alpha-Pinene|2-Phenylethyl formate|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|1-butanol|luteolin|2-Methyl-2-Pentenal|Ethyl Cinnamate|(Ethoxymethyl)benzene|p-coumaric acid|Nonanoic Acid"
83,cremini mushroom,
84,asafoetida,"Disulfide, 1-methylpropyl propyl|Beta-Caryophyllene|1,2-Dithiolane|alpha-Eudesmol|Elemol|n-Propyl nitrite|D-Limonene|Ocimene|(+)-delta-Cadinene|beta-Gurjunene|(R)-beta-himachalene|Guaiene|beta-Eudesmol|Myrcene|Alpha-Pinene|(-)-Limonene|beta-Cedrene|Hinesol|Alpha-Phellandrene|(-)-gamma-cadinene|Camphene|2-Methoxy-4-vinylphenol|Beta-Pinene|10-epi-gamma-Eudesmol|Beta-Phellandrene|Bornyl Acetate|Dipentene|Alloocimene|Alpha-Selinene|beta-Bisabolene|sec-Butyl Disulfide|gamma-Eudesmol|Humulene|Beta-Selinene|Agarospirol|(Z)-Beta-Ocimene|P-Cymene"
85,pav,
86,bean,"coumarin|Methyl Benzoate|1-Methylnaphthalene|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|(-)-Epigallocatechin|methanethiol|daidzein|benzaldehyde|4-Methyl-5-Thiazoleethanol|Coumestrol|benzyl alcohol|trans,trans-2,4-Nonadienal|alpha-L-Sorbopyranose|DL-Liquiritigenin|Methyl propenyl ketone|alpha-TERPINEOL|phloretin|Hexanal|Damascenone|Linamarin|2-Methyl-1-Butanol|1-octanol|gamma-Caprolactone|2,3,5,6-Tetramethylpyrazine|Heptanoic Acid|guaiacol|3-Hexanol|salicylic acid|Tetradecanoic acid|vanillin|Dimethyl disulfide|(Z)-cinnamyl alcohol|2,3-Pentanedione|2,3,5-Trimethylpyrazine|cinnamyl alcohol|Ethyl Vinyl Ketone|Nerolidol|hydrogen peroxide|2-Acetylpyridine|Hexanoic Acid|Beta-Ionone|Isoeugenol|butein|betaine|Phenethyl acetate|ethanol|Phenylacetic Acid|Methyl tetradecanoate|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|2-Pentanol|Pentanal|Sinapic Acid|Cyclopentanone|Undecanoic Acid|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|1-Octen-3-Ol|2-Phenylethanol|(+)-Neomenthol|Allyl Isothiocyanate|succinic acid|NSC5112|Nonanal|2-Acetylthiazole|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|lauric acid|octanoic acid|cis-Jasmone|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|Hexyl acetate|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|Isobutyl butyrate|Isoamyl Acetate|2,3-butanedione|2-Methoxy-4-vinylphenol|Alpha-Ionone|isoliquiritigenin|Cinnamic Acid|Farnesal|3-Methyl-2-Butanol|(E)-Hept-2-enal|3,4-Dihydroxybenzaldehyde|1-Penten-3-Ol|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|Styrene|3-methylthiopropanol|Citral|2-Methyl-1-propanol|palmitic acid|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|1-Phenylethanol|Octan-2-one|1-Hexanol|Maltol|3-Heptanone|CID 644104|1-Nonanol|Taxifolin|2-Heptanol|D-mannitol|2-Pentanone|indole-3-acetic acid|2-Isobutyl-3-Methoxypyrazine|1-Pyrroline|Menthone|Isopropyl Acetate|Geranyl Acetate|cis-3-Hexenyl acetate|isopropanol|Furfuryl Alcohol|phenol|Allyl Alcohol|Cianidanol|Alpha-Terpinene|dimethyl sulfide|(Z)-Hex-3-en-1-ol|naringenin|Isobutyraldehyde|1-Dodecanol|2-Isopropyl-3-Methoxypyrazine|2,5-Dimethylpyrazine|6-Methyl-5-Hepten-2-One|2-Methyltetrahydrofuran-3-One|4-Vinylphenol|quercetin|3-(Methylthio)propionaldehyde|3-Octanone|Octanal|hydrogen cyanide|Benzyl Benzoate|2-isopropyl-6-methoxypyrazine|24168-70-5|methyl salicylate|trans-3-Hexen-1-ol|Ethyl Acetate|3-Methyl-2-Buten-1-Ol|4-Hexen-3-One|Neral|4-Hexen-1-Ol|Gallocatechin|3-Methyl-2-butenal|3-Pentanone|gamma-Butyrolactone|1-propanol|Heptanal|acetone|2-Butanone|trans-2-Nonenal|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|gamma-Nonanolactone|p-coumaric acid|Linalool|Nonanoic Acid"
